id,load,bs,reward
702,10,2,-99.540771484375
703,10,2,-42.645751953125
704,10,2,-152.4345703125
705,10,2,-28.941650390625
706,10,2,-64.068603515625
707,10,2,-36.40087890625
708,10,2,-79.50244140625
709,10,2,-37.505126953125
710,10,2,-45.487060546875
711,10,2,-35.426025390625
712,10,2,-138.414794921875
713,10,2,-37.87841796875
714,10,2,-119.69140625
715,10,2,-40.103515625
716,10,2,-94.60498046875
717,10,2,-29.133544921875
718,10,2,-70.70166015625
719,10,2,-29.723388671875
720,10,2,-328.049560546875
721,10,2,-36.204833984375
722,10,2,-68.1474609375
723,10,2,-28.806884765625
724,10,2,-53.0322265625
725,10,2,-34.7685546875
726,10,2,-69.736083984375
727,10,2,-42.143310546875
728,10,2,-186.31591796875
729,10,2,-33.111328125
730,10,2,-99.515869140625
731,10,2,-29.826904296875
732,10,2,-58.14306640625
733,10,2,-38.441162109375
734,10,2,-191.612548828125
735,10,2,-29.049072265625
736,10,2,-143.005615234375
737,10,2,-37.5283203125
738,10,2,-119.15087890625
739,10,2,-44.15966796875
740,10,2,-42.87841796875
741,10,2,-30.6279296875
742,10,2,-55.121826171875
743,10,2,-33.92578125
744,10,2,-132.150634765625
745,10,2,-32.61328125
746,10,2,-194.4287109375
747,10,2,-40.163818359375
748,10,2,-80.984375
749,10,2,-29.937255859375
750,10,2,-415.56689453125
751,10,2,-36.16845703125
752,10,2,-148.784912109375
753,10,2,-39.85986328125
754,10,2,-61.50390625
755,10,2,-29.309814453125
756,10,2,-59.237060546875
757,10,2,-38.38671875
758,10,2,-390.938720703125
759,10,2,-32.704345703125
760,10,2,-38.03955078125
761,10,2,-29.4248046875
762,10,2,-88.200439453125
763,10,2,-40.3291015625
764,10,2,-97.56884765625
765,10,2,-34.109619140625
766,10,2,-43.881103515625
767,10,2,-29.115234375
768,10,2,-205.04931640625
769,10,2,-39.796142578125
770,10,2,-61.385986328125
771,10,2,-39.954833984375
772,10,2,-90.961669921875
773,10,2,-29.077392578125
774,10,2,-51.618408203125
775,10,2,-41.1259765625
776,10,2,-123.16259765625
777,10,2,-38.6640625
778,10,2,-141.123291015625
779,10,2,-29.44287109375
780,10,2,-89.466064453125
781,10,2,-35.630859375
782,10,2,-304.745849609375
783,10,2,-45.247802734375
784,10,2,-58.6455078125
785,10,2,-33.692138671875
786,10,2,-96.812255859375
787,10,2,-38.941162109375
788,10,2,-57.48681640625
789,10,2,-31.434814453125
790,10,2,-131.33154296875
791,10,2,-29.515869140625
792,10,2,-97.27685546875
793,10,2,-31.680908203125
794,10,2,-205.389404296875
795,10,2,-40.76416015625
796,10,2,-179.43115234375
797,10,2,-29.58984375
798,10,2,-239.646728515625
799,10,2,-32.31982421875
800,10,2,-32.563720703125
801,10,2,-32.046142578125
802,10,2,-60.98193359375
803,10,2,-36.462646484375
804,10,2,-119.37109375
805,10,2,-29.407958984375
806,10,2,-225.09521484375
807,10,2,-38.7197265625
808,10,2,-225.109130859375
809,10,2,-38.029296875
810,10,2,-98.845458984375
811,10,2,-32.912353515625
812,10,2,-133.5927734375
813,10,2,-39.119384765625
814,10,2,-143.3173828125
815,10,2,-37.368408203125
816,10,2,-46.59619140625
817,10,2,-29.923828125
818,10,2,-76.43359375
819,10,2,-36.318359375
820,10,2,-115.3369140625
821,10,2,-41.627685546875
822,10,2,-101.06494140625
823,10,2,-30.95751953125
824,10,2,-81.533447265625
825,10,2,-36.77587890625
826,10,2,-155.71484375
827,10,2,-33.05712890625
828,10,2,-52.755859375
829,10,2,-29.1748046875
830,10,2,-107.367431640625
831,10,2,-37.61181640625
832,10,2,-75.87890625
833,10,2,-41.76611328125
834,10,2,-72.843017578125
835,10,2,-28.959716796875
836,10,2,-50.680419921875
837,10,2,-29.6650390625
838,10,2,-214.7158203125
839,10,2,-36.760009765625
840,10,2,-368.0615234375
841,10,2,-32.48291015625
842,10,2,-82.080810546875
843,10,2,-38.23779296875
844,10,2,-115.563720703125
845,10,2,-45.232666015625
846,10,2,-38.954345703125
847,10,2,-26.967529296875
848,10,2,-128.9296875
849,10,2,-39.473876953125
850,10,2,-178.4384765625
851,10,2,-45.57861328125
852,10,2,-65.76806640625
853,10,2,-35.753662109375
854,10,2,-112.39306640625
855,10,2,-36.8193359375
856,10,2,-133.311767578125
857,10,2,-44.60009765625
858,10,2,-37.331298828125
859,10,2,-29.037841796875
860,10,2,-129.62109375
861,10,2,-30.486083984375
862,10,2,-36.641845703125
863,10,2,-33.645263671875
864,10,2,-231.9287109375
865,10,2,-31.449951171875
866,10,2,-298.814453125
867,10,2,-36.91015625
868,10,2,-127.240966796875
869,10,2,-36.18701171875
870,10,2,-90.685546875
871,10,2,-29.53466796875
872,10,2,-37.035888671875
873,10,2,-34.248046875
874,10,2,-103.4716796875
875,10,2,-38.81005859375
876,10,2,-282.47900390625
877,10,2,-42.209716796875
878,10,2,-46.896728515625
879,10,2,-35.187744140625
880,10,2,-362.0908203125
881,10,2,-39.93896484375
882,10,2,-57.17138671875
883,10,2,-33.253662109375
884,10,2,-124.194091796875
885,10,2,-34.014404296875
886,10,2,-232.02099609375
887,10,2,-32.074951171875
888,10,2,-39.077392578125
889,10,2,-32.611328125
890,10,2,-147.2890625
891,10,2,-29.091552734375
892,10,2,-154.7099609375
893,10,2,-30.516845703125
894,10,2,-164.92578125
895,10,2,-39.92138671875
896,10,2,-119.5146484375
897,10,2,-32.10205078125
898,10,2,-124.9716796875
899,10,2,-33.12646484375
900,10,2,-107.071044921875
901,10,2,-34.505615234375
902,10,2,-103.687255859375
903,10,2,-32.712158203125
904,10,2,-114.0048828125
905,10,2,-30.039306640625
906,10,2,-432.429931640625
907,10,2,-43.011474609375
908,10,2,-73.748291015625
909,10,2,-34.287353515625
910,10,2,-57.005859375
911,10,2,-40.284423828125
912,10,2,-41.06982421875
913,10,2,-32.33935546875
914,10,2,-129.754150390625
915,10,2,-32.179931640625
916,10,2,-150.48388671875
917,10,2,-31.902587890625
